"url_id","xpath","selector","property","content","comment","rdf-property","rdf-value"
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[1]/div/h3","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-18.columns > div > h3","title","Jährliche Raster von Winterraps - Beginn der Blüte in Deutschland",,"http://purl.org/dc/terms/title","Jährliche Raster von Winterraps - Beginn der Blüte in Deutschland"
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[1]/div/p","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-18.columns > div > p","description","Jährliche Raster von Winterraps - Beginn der Blüte in Deutschland",,,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[1]/div/div/div/div/div[1]/a/span[2]","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-18.columns > div > div > div > div > div.small-22.columns > a > span.link-download","download","ftp://ftp-cdc.dwd.de/pub/CDC/grids_germany/annual/phenology/WRAB/","specific type of generic link to data",,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[1]/div/div/div/div/div[2]/span","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-18.columns > div > div > div > div > div.small-2.columns > span","filetype","FTP","not an actual file type, but an access protocol",,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[2]/div/p[1]/span/a","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-6.columns > div > p:nth-child(2) > span > a","provider","<a target=""_blank"" href=""http://www.dwd.de"">Deutscher Wetterdienst (DWD)</a>",,,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[2]/div/div/span[3]","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-6.columns > div > div > span.tag-theme-text","category","Klima und Wetter",,,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[2]/div/p[2]/span","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-6.columns > div > p:nth-child(6) > span","currency","1992 bis Vorjahr","currency not as in money, but in actuality (timeframe covered by the dataset)",,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[2]/div/p[3]/span","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-6.columns > div > p:nth-child(8) > span","metadata-currency","Fri Jun 24 00:00:00 GMT 2016","last update of metadata",,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[2]/div/p[4]/span[2]","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-6.columns > div > p:nth-child(10) > span:nth-child(2)","usage-restriction","Freie Nutzung","no restrictions (not sure if related to licence or different)",,
209,"//*[@id=""portlet_mcloudsearchportlet""]/div/div/div/div[2]/div[2]/div[2]/div/p[5]/span","#portlet_mcloudsearchportlet > div > div > div > div.content-page.datail-page > div.row > div.small-24.xlarge-6.columns > div > p:nth-child(12) > span","currency2","Fri Jun 24 00:00:00 GMT 2016","WARNING, not sure why this appears twice or why there‘s a difference",,
